Reaction ,Label,Annotation
R1,126,Norm
,127N,H1
,127C,7A
,128N,12A
,128C,16A
,129N,SV11
,129C,SV12
,130N,SV13
,130C,SV14
,131,SV15
R2,126,Norm
,127N,H2
,127C,17A
,128N,19A
,128C,35A
,129N,SV16
,129C,SV17
,130N,SV18
,130C,SV19
,131,SV20
R3,126,Norm
,127N,H3
,127C,22A
,128N,23A
,128C,20A
,129N,SV1
,129C,SV2
,130N,SV3
,130C,SV4
,131,SV5
R4,126,Norm
,127N,H4
,127C,25A
,128N,26A
,128C,24A
,129N,SV6
,129C,SV7
,130N,SV8
,130C,SV9
,131,SV10
